x,y,z
59.92900085,87.31900024,113.30899811
60.32300186,87.11100006,113.29299927
60.84000015,86.87999725,113.27100372
61.27700043,86.63600159,113.26100159
61.32799911,86.6210022,113.26100159
62.05899811,86.59899902,113.27100372
64.38300323,87.06700134,113.0510025
67.26899719,85.77899933,113.1740036
67.61599731,85.58799744,113.16899872
67.8239975,85.4240036,113.17099762
68.85199738,85.21900177,113.01000214
71.49199677,83.80899811,113.01000214
71.89600372,83.70300293,113.01899719
72.3789978,83.56099701,113.03099823
73.48999786,82.79000092,113.14900208
74.62400055,82.26499939,113.02700043
75.08399963,82.01300049,113.14299774
75.05500031,81.97000122,113.14299774
76.83200073,80.93399811,113.02700043
77.11299896,80.96900177,113.13800049
79.06300354,80.08899689,113.02600098
79.29100037,80.05599976,113.03099823
80.15200043,79.42500305,113.12799835
81.54799652,78.83200073,113.13600159
82.91999817,78.13400269,113.02500153
83.98899841,77.63800049,113.15200043
84.83399963,77.11699677,113.02999878
85.90799713,76.76999664,113.06199646
87,76.17700195,113.04499817
88.2440033,75.46600342,113.03500366
89.02899933,75.16500092,113.15499878
90.69400024,74.51799774,113.06500244
91.66699982,73.88200378,113.0530014
92.95300293,73.43599701,113.0490036
93.94100189,72.70200348,113.04199982
95.08399963,72.26300049,113.14299774
95.31199646,72.12000275,113.04799652
96.46099854,71.58799744,113.14299774
96.84500122,71.46900177,113.06199646
98.30400085,70.75800323,113.07700348
98.95800018,70.2990036,113.06400299
100.37599945,69.70500183,113.08200073
101.06999969,69.28399658,113.07299805
102.14600372,68.83699799,113.08000183
102.48300171,68.73899841,113.09400177
103.48500061,68.32099915,113.09999847
104.44599915,67.72399902,113.10900116
106.15299988,67.02200317,113.11599731
106.66300201,66.66200256,113.10900116
107.13600159,66.31999969,113.09999847
108.68000031,65.69799805,113.11100006
109.78700256,65.04699707,113.10800171
110.1969986,65.05200195,113.12599945
111.625,64.31700134,113.11499786
111.69799805,64.22499847,113.1210022
112.84899902,63.70800018,113.1289978
113.83599854,63.22900009,113.13200378
114.07900238,63.01800156,113.1210022
115.46600342,62.45399857,113.1269989
116.16200256,62.02299881,113.12400055
117.15200043,61.61999893,113.13899994
118.31400299,60.98199844,113.12799835
118.68099976,60.84600067,113.12999725
119.62200165,60.42699814,113.13200378
121.06400299,59.78699875,113.13700104
122.03800201,59.28699875,113.13800049
123.42900085,58.61700058,113.14600372
123.65299988,58.48199844,113.14900208
123.93199921,58.36700058,113.15599823
125.37400055,57.68099976,113.15699768
126.66699982,57.06700134,113.16400146
126.81600189,56.97100067,113.16500092
128.2460022,56.29399872,113.16799927
128.38000488,56.2179985,113.17099762
129.87399292,55.52099991,113.17700195
130.58599854,55.17699814,113.17900085
131.38299561,54.76699829,113.18299866
132.33599854,54.32400131,113.18599701
133.12399292,53.91600037,113.19100189
134.375,53.32600021,113.1969986
134.77799988,53.1269989,113.1989975
135.7749939,52.67499924,113.20400238
136.977005,51.92399979,113.21199799
137.22599792,51.875,113.21399689
139.7749939,51.17599869,113.22699738
140.0249939,51.02500153,113.23200226
141.17300415,49.98600006,113.26399994
142.97599792,51.04299927,113.23200226
